region,state,agro_zone,crop_type,crop_variety,soil_type,soil_pH,soil_nitrogen,soil_phosphorus,soil_potassium,rainfall_mm,temperature_C,fertilizer_type,fertilizer_amount_kg_ha,irrigation_type,yield_kg_ha,humidity
Southsouth,Delta,Derived Savanna,Cassava,Oko-Iyawo,Alluvial,4.7,7.9,104.9,201.1,1652.0,33.7,None,0.0,Rainfed,4589.1,75.0
Southeast,Anambra,Humid Forest,Rice,FARO 52,Alluvial,6.6,120.1,21.5,18.5,2607.5,24.6,NPK,31.4,Drip,921.4,71.5
Southeast,Enugu,Humid Forest,Rice,FARO 44,Sandy,6.2,127.3,40.2,71.4,2279.4,32.9,SSP,105.1,Rainfed,3580.9,69.3
Northwest,Kebbi,Sudan Savanna,Sorghum,SAMSORG 14,Loamy,6.0,138.3,85.4,167.3,908.7,35.5,NPK,39.1,Drip,2836.3,41.9
Southwest,Osun,Humid Forest,Cassava,TMS 98/0505,Loamy,4.8,42.2,88.8,95.0,1657.7,28.7,NPK,117.8,Rainfed,11656.6,67.6
Southwest,Osun,Derived Savanna,Yam,Aerial Yam,Clay,7.3,35.4,58.1,157.8,1131.7,25.2,Urea,175.3,Rainfed,7027.7,74.0
Northwest,Kaduna,Northern Guinea Savanna,Cassava,NR 8082,Lateritic,7.9,45.2,106.9,67.3,1200.4,34.3,NPK,80.3,Rainfed,7131.3,77.5
Northeast,Gombe,Sudan Savanna,Sorghum,SK 5912,Loamy,8.1,46.7,73.2,167.2,608.6,34.1,None,0.0,Rainfed,2119.3,50.3
Southeast,Ebonyi,Humid Forest,Rice,NERICA-4,Lateritic,7.3,133.2,103.3,39.0,2439.0,32.6,Urea,123.6,Surface,3035.8,93.8
Southsouth,Edo,Derived Savanna,Rice,Ofada,Clay Loam,6.3,137.5,96.0,210.2,1586.8,31.8,NPK,27.4,Drip,3551.8,71.3
Northeast,Bauchi,Sudan Savanna,Sorghum,SK 5912,Sandy,6.2,95.6,30.2,162.6,818.4,36.3,Organic,88.9,Rainfed,2543.4,39.8
Northeast,Yobe,Sudan Savanna,Sorghum,ICSV 400,Sandy,6.9,102.3,99.4,105.5,695.4,33.2,None,0.0,Rainfed,2320.0,31.6
Northcentral,Nasarawa,Derived Savanna,Rice,FARO 44,Alluvial,8.2,141.3,25.7,159.6,1655.6,28.8,NPK,71.1,Rainfed,2721.7,80.0
Northwest,Katsina,Northern Guinea Savanna,Cassava,Oko-Iyawo,Alluvial,4.4,100.8,89.2,208.5,809.0,23.0,Urea,153.9,Rainfed,5693.7,62.6
Northcentral,Niger,Northern Guinea Savanna,Cassava,TME 419,Sandy Loam,8.3,132.8,19.7,70.9,1010.8,22.1,Urea,134.6,Rainfed,7307.1,71.3
Northwest,Sokoto,Sudan Savanna,Sorghum,ICSV 400,Alluvial,6.5,85.5,101.0,80.2,524.4,30.0,NPK,50.2,Rainfed,2341.3,30.6
Southsouth,Edo,Humid Forest,Rice,FARO 52,Lateritic,8.5,84.2,73.9,54.0,1442.8,25.5,NPK,165.7,Rainfed,2617.4,91.6
Southsouth,Delta,Humid Forest,Rice,NERICA-1,Clay,6.8,123.9,105.7,111.8,2431.0,26.9,Organic,151.3,Rainfed,4027.9,82.9
Northcentral,Niger,Northern Guinea Savanna,Sorghum,ICSV 400,Lateritic,7.2,129.1,65.2,60.0,954.8,35.7,NPK,87.4,Rainfed,2386.7,63.3
Northwest,Kebbi,Sudan Savanna,Sorghum,CSR-01,Alluvial,6.7,146.2,86.2,109.0,898.9,33.3,NPK,126.8,Drip,2704.6,37.2
Southsouth,Cross River,Humid Forest,Rice,NERICA-1,Loamy,7.8,144.7,85.4,195.1,2576.1,25.6,SSP,172.1,Sprinkler,2750.3,77.5
Northcentral,Nasarawa,Derived Savanna,Maize,SAMMAZ 15,Clay Loam,8.4,149.9,65.7,53.0,1318.8,24.9,NPK,95.8,Rainfed,3561.0,71.9
Northeast,Bauchi,Northern Guinea Savanna,Sorghum,ICSV 400,Sandy Loam,4.8,127.2,36.6,137.3,1298.9,31.2,Urea,100.9,Rainfed,1632.7,39.0
Northcentral,Kogi,Derived Savanna,Beans,IT97K-499-35,Lateritic,4.5,19.1,35.9,48.4,1644.0,25.7,SSP,25.0,Rainfed,688.6,60.1
Southwest,Oyo,Derived Savanna,Maize,DTMA,Loamy,8.2,137.0,97.8,134.4,980.2,33.6,Urea,35.2,Rainfed,3588.2,51.4
Northeast,Yobe,Sudan Savanna,Sorghum,SAMSORG 14,Lateritic,4.3,117.0,23.1,20.3,653.9,31.6,Urea,160.2,Rainfed,1140.3,58.3
Northwest,Kano,Sudan Savanna,Sorghum,CSR-01,Alluvial,7.1,65.8,85.7,182.9,630.8,40.2,Urea,176.9,Rainfed,2360.1,54.7
Northwest,Kano,Sudan Savanna,Sorghum,SK 5912,Lateritic,6.5,96.9,71.0,112.7,985.0,29.5,NPK,56.7,Drip,2641.8,26.9
Northwest,Katsina,Northern Guinea Savanna,Cassava,NR 8082,Lateritic,5.2,119.2,11.3,189.8,1055.6,20.1,SSP,60.9,Drip,6692.4,63.9
Southwest,Osun,Derived Savanna,Pepper,Shombo,Alluvial,7.4,46.2,37.4,189.9,1075.8,25.1,Organic,53.5,Rainfed,4226.7,85.8
Northeast,Yobe,Sudan Savanna,Sorghum,SAMSORG 17,Sandy Loam,6.2,94.1,44.8,64.5,445.5,38.6,NPK,165.2,Rainfed,2194.1,29.6
Southsouth,Delta,Derived Savanna,Pepper,Tatase,Alluvial,8.4,37.0,97.6,198.6,857.3,24.2,NPK,44.7,None,3605.9,80.4
Southwest,Osun,Derived Savanna,Cassava,TME 419,Clay Loam,4.0,54.7,112.7,80.7,1579.6,27.2,NPK,38.4,Rainfed,7913.3,65.8
Northcentral,Nasarawa,Northern Guinea Savanna,Maize,SAMMAZ 14,Loamy,6.7,79.3,55.1,161.3,1207.5,32.9,None,0.0,Rainfed,3123.2,48.2
Northcentral,Nasarawa,Northern Guinea Savanna,Sorghum,SAMSORG 17,Sandy Loam,5.0,92.9,23.9,115.5,1153.7,33.3,Urea,21.3,Surface,1932.1,44.2
Southwest,Oyo,Humid Forest,Rice,NERICA-1,Alluvial,6.2,143.5,65.5,45.8,1461.2,31.4,Organic,20.7,Rainfed,3961.4,67.9
Southeast,Imo,Humid Forest,Cassava,NR 8082,Lateritic,5.9,52.3,18.0,164.8,1602.3,26.1,NPK,83.3,Sprinkler,11288.8,94.0
Northwest,Sokoto,Sudan Savanna,Sorghum,SK 5912,Clay Loam,6.6,50.0,64.1,87.8,421.6,32.4,Organic,24.1,Rainfed,2429.4,30.9
Northcentral,Niger,Derived Savanna,Rice,FARO 52,Alluvial,7.5,103.9,54.1,155.0,1641.4,25.7,NPK,146.2,Rainfed,3127.2,70.6
Southeast,Anambra,Humid Forest,Cassava,TME 419,Clay Loam,5.2,118.9,26.1,196.3,2304.8,25.4,NPK,128.7,Rainfed,9616.3,61.1
Southwest,Osun,Humid Forest,Cassava,Oko-Iyawo,Clay Loam,7.3,18.0,17.4,114.3,1829.5,29.9,SSP,82.4,Rainfed,8581.5,86.0
Northwest,Kano,Sudan Savanna,Sorghum,SAMSORG 17,Lateritic,5.3,46.6,67.5,54.6,692.8,30.0,NPK,22.2,Surface,2288.7,53.6
Northwest,Kano,Sudan Savanna,Sorghum,SK 5912,Clay Loam,8.3,31.6,20.5,179.1,491.1,35.5,Urea,101.4,Rainfed,2411.1,30.2
Northwest,Kaduna,Northern Guinea Savanna,Sorghum,ICSV 400,Loamy,4.2,27.7,68.4,206.1,1090.4,21.2,Urea,40.4,Rainfed,1108.1,35.3
Northcentral,Kogi,Derived Savanna,Cassava,TMS 98/0505,Clay,4.6,4.2,59.1,206.2,982.5,33.5,NPK,32.1,Rainfed,742.8,62.0
Northcentral,Plateau,Northern Guinea Savanna,Maize,SAMMAZ 15,Clay Loam,7.7,75.6,106.1,192.8,1097.8,20.7,Organic,159.7,Rainfed,3396.7,69.3
Southwest,Ekiti,Humid Forest,Rice,FARO 52,Clay,6.2,122.3,105.8,142.1,1375.2,23.6,NPK,161.8,Rainfed,3723.8,100
Northcentral,Niger,Northern Guinea Savanna,Maize,DTMA,Clay Loam,7.2,130.9,59.8,39.8,1127.9,26.3,NPK,169.0,Rainfed,4160.1,59.8
Southwest,Oyo,Derived Savanna,Rice,FARO 52,Clay,5.1,140.0,67.2,50.8,1292.0,31.7,Urea,98.0,Rainfed,3847.7,68.8
Northeast,Taraba,Northern Guinea Savanna,Maize,Oba Super-1,Sandy Loam,7.9,144.0,55.9,135.4,701.1,31.6,Organic,77.2,Rainfed,3614.1,61.1
Southwest,Osun,Derived Savanna,Cassava,Oko-Iyawo,Sandy,5.3,109.1,6.7,57.9,1328.0,31.8,NPK,92.4,Drip,4454.8,59.7
Northwest,Kaduna,Northern Guinea Savanna,Maize,SAMMAZ 15,Clay,5.0,124.9,78.3,212.7,968.3,21.9,None,0.0,Surface,2182.1,44.5
Southwest,Lagos,Humid Forest,Rice,FARO 44,Sandy,8.2,76.9,62.6,76.5,2401.9,27.2,None,0.0,Drip,2250.4,94.1
Northwest,Katsina,Northern Guinea Savanna,Sorghum,SAMSORG 17,Alluvial,5.5,108.0,18.8,173.7,1179.4,30.1,Organic,146.0,Drip,1701.1,48.4
Northeast,Bauchi,Northern Guinea Savanna,Sorghum,SAMSORG 17,Loamy,6.2,144.1,72.9,181.7,768.9,33.1,Organic,21.9,Rainfed,2694.4,40.2
Northwest,Katsina,Northern Guinea Savanna,Beans,IT90K-277-2,Sandy,7.6,59.8,105.3,111.7,924.2,22.7,Urea,138.7,Rainfed,1468.0,73.1
Northeast,Bauchi,Sudan Savanna,Sorghum,SAMSORG 17,Sandy Loam,5.7,65.4,65.7,151.4,402.2,26.8,NPK,158.7,Rainfed,2248.1,24.5
Southwest,Osun,Humid Forest,Rice,NERICA-1,Sandy Loam,5.8,41.4,66.2,42.4,2157.7,30.1,NPK,135.0,Drip,1214.9,79.1
Northcentral,Plateau,Northern Guinea Savanna,Maize,SAMMAZ 15,Sandy Loam,5.4,84.4,43.4,205.1,1264.0,35.0,None,0.0,Rainfed,2770.3,48.2
Southsouth,Delta,Derived Savanna,Cassava,NR 8082,Clay Loam,4.2,80.9,38.2,112.4,1088.5,33.0,Organic,177.4,Rainfed,9243.8,77.9
Northeast,Bauchi,Northern Guinea Savanna,Sorghum,ICSV 400,Sandy,4.8,149.9,79.6,55.0,1077.1,23.0,NPK,101.9,Rainfed,1590.7,55.1
Southeast,Anambra,Humid Forest,Rice,FARO 44,Sandy Loam,5.0,147.7,102.0,104.7,2507.5,30.4,None,0.0,Drip,3015.9,99.6
Northcentral,Niger,Derived Savanna,Pepper,Bawa,Sandy Loam,7.1,54.9,80.6,155.0,1534.1,23.1,NPK,135.1,Rainfed,4023.9,54.4
Northcentral,Kwara,Derived Savanna,Cassava,TME 419,Sandy Loam,4.2,28.1,98.1,156.3,1333.8,29.0,NPK,133.8,Rainfed,9488.3,54.7
Southwest,Osun,Humid Forest,Yam,Pona,Loamy,8.1,148.0,60.4,150.8,1569.3,28.9,Organic,23.0,Rainfed,6841.8,91.1
Northeast,Bauchi,Northern Guinea Savanna,Sorghum,SAMSORG 17,Loamy,4.4,71.7,109.7,17.3,1122.9,29.2,NPK,125.9,Rainfed,1071.8,52.4
Northwest,Zamfara,Sudan Savanna,Sorghum,SK 5912,Sandy Loam,7.6,60.0,102.7,128.9,918.4,39.4,NPK,179.7,Rainfed,2286.8,53.3
Northwest,Kaduna,Northern Guinea Savanna,Beans,IT90K-277-2,Sandy Loam,5.9,109.1,82.7,86.4,962.0,24.2,NPK,24.2,Rainfed,1249.5,35.4
Northeast,Bauchi,Northern Guinea Savanna,Beans,Sampea-14,Loamy,8.4,16.0,37.3,210.7,823.3,21.0,NPK,70.8,Rainfed,1301.9,42.5
Southeast,Imo,Humid Forest,Cassava,TMS 30572,Lateritic,6.3,27.7,100.0,37.9,1389.1,25.2,NPK,47.6,Rainfed,1372.6,75.4
Northeast,Bauchi,Sudan Savanna,Sorghum,SK 5912,Clay,4.9,122.8,95.8,85.1,535.1,33.9,Urea,153.3,Surface,1642.5,54.9
Northeast,Yobe,Sudan Savanna,Beans,Sampea-14,Sandy,7.3,44.9,49.9,215.6,641.0,27.3,None,0.0,Sprinkler,1614.8,58.1
Southwest,Ogun,Humid Forest,Rice,Ofada,Alluvial,5.5,118.2,71.2,176.6,1802.2,32.7,NPK,123.4,Rainfed,3635.1,83.7
Northcentral,Niger,Derived Savanna,Cassava,TME 419,Clay,5.0,76.9,89.8,215.9,1282.1,27.6,Organic,93.2,Drip,10577.2,58.0
Northeast,Adamawa,Northern Guinea Savanna,Pepper,Atarugu,Sandy,7.0,100.7,102.1,178.2,1004.1,33.1,NPK,68.5,Sprinkler,4934.8,56.1
Southsouth,Edo,Derived Savanna,Yam,Aerial Yam,Sandy Loam,7.8,76.8,43.6,123.8,1685.1,29.6,Organic,67.6,Rainfed,6662.8,79.9
Southwest,Kwara,Derived Savanna,Cassava,TME 419,Alluvial,8.2,31.5,73.7,59.9,1040.0,31.2,Organic,175.4,Drip,4790.0,74.0
Northwest,Kano,Sudan Savanna,Sorghum,SAMSORG 17,Alluvial,5.5,141.4,59.1,168.6,764.9,39.2,NPK,110.3,Rainfed,1795.7,57.1
Northcentral,Plateau,Northern Guinea Savanna,Beans,Sampea-14,Sandy Loam,5.6,109.2,38.4,216.8,1167.9,21.9,NPK,72.8,Surface,1226.7,39.3
Southsouth,Rivers,Humid Forest,Rice,Ofada,Loamy,7.2,133.2,74.8,185.9,2597.2,24.5,None,0.0,Rainfed,2763.3,76.5
Southsouth,Edo,Derived Savanna,Pepper,Shombo,Alluvial,6.0,62.4,89.8,173.1,1260.1,33.1,Urea,111.7,Rainfed,4031.4,52.1
Northwest,Kaduna,Northern Guinea Savanna,Pepper,Atarugu,Sandy Loam,8.1,46.6,84.0,74.4,823.5,34.9,NPK,108.8,Drip,4379.7,67.7
Northcentral,Kwara,Derived Savanna,Rice,NERICA-1,Loamy,3.9,88.1,43.5,29.9,1472.5,29.3,Urea,115.5,Rainfed,1669.3,54.0
Southsouth,Edo,Derived Savanna,Pepper,Atarugu,Sandy Loam,6.9,148.0,63.4,103.1,1455.3,23.0,None,0.0,Sprinkler,3875.8,56.9
Northcentral,Kwara,Derived Savanna,Cassava,Oko-Iyawo,Sandy Loam,6.8,108.6,12.4,180.8,1580.6,34.7,Organic,105.9,Rainfed,8238.0,52.0
Northcentral,Niger,Northern Guinea Savanna,Beans,IT90K-277-2,Lateritic,7.7,15.1,99.3,68.9,685.6,25.0,Organic,133.4,Rainfed,1327.6,56.9
Southsouth,Delta,Derived Savanna,Rice,Ofada,Clay,7.4,56.2,102.4,31.8,1463.8,30.2,None,0.0,Drip,2945.0,76.1
Southeast,Ebonyi,Humid Forest,Cassava,TME 419,Clay Loam,5.2,43.3,82.2,211.5,1758.7,24.7,Urea,47.4,Drip,11613.7,83.6
Southeast,Anambra,Humid Forest,Rice,FARO 44,Sandy Loam,6.0,149.3,16.9,142.6,2333.6,29.9,NPK,53.7,Sprinkler,3762.3,87.2
Northwest,Katsina,Northern Guinea Savanna,Maize,SAMMAZ 15,Clay Loam,6.7,94.2,50.5,175.9,805.1,24.9,NPK,121.8,Rainfed,3609.8,55.6
Northcentral,Kogi,Derived Savanna,Tomato,Dan Mazari,Sandy,7.3,74.2,98.6,58.5,1138.5,26.1,NPK,166.2,Rainfed,15444.0,56.3
Northeast,Gombe,Sudan Savanna,Sorghum,ICSV 400,Sandy,6.6,52.2,30.9,83.1,824.1,28.3,NPK,162.2,Sprinkler,2904.6,62.6
Southsouth,Delta,Humid Forest,Cassava,NR 8082,Clay,8.0,18.5,58.8,109.2,2064.7,24.2,NPK,52.3,Rainfed,7909.5,84.2
Northeast,Gombe,Sudan Savanna,Beans,Sampea-14,Loamy,6.4,53.4,54.6,97.1,1012.1,28.4,Urea,109.5,Rainfed,1251.3,37.7
Southwest,Kwara,Derived Savanna,Maize,SAMMAZ 14,Loamy,7.4,85.5,53.2,42.6,931.7,27.4,NPK,128.1,Sprinkler,4480.4,68.8
Southwest,Oyo,Derived Savanna,Cassava,Oko-Iyawo,Alluvial,5.7,15.8,58.1,179.5,1482.8,22.9,None,0.0,Rainfed,7071.2,54.3
Northeast,Taraba,Northern Guinea Savanna,Yam,Yellow Yam,Clay,6.8,144.9,89.3,101.2,1247.1,30.0,NPK,146.5,Drip,7954.3,65.2
Northwest,Kebbi,Sahel Savanna,Sorghum,SAMSORG 14,Loamy,7.2,24.0,25.7,183.4,655.8,35.5,Urea,149.7,Rainfed,1844.6,32.6
Southwest,Ogun,Humid Forest,Cassava,Oko-Iyawo,Clay,4.4,23.9,21.7,194.5,2063.9,33.2,SSP,122.7,Rainfed,11264.0,77.2
Northeast,Gombe,Sudan Savanna,Sorghum,SK 5912,Clay Loam,5.2,35.9,99.3,162.9,471.6,27.8,NPK,118.9,Rainfed,1658.5,54.4
Northcentral,Plateau,Northern Guinea Savanna,Sorghum,ICSV 400,Lateritic,6.3,133.9,12.2,53.2,1184.2,24.2,NPK,160.3,Rainfed,1686.3,67.8
Northeast,Taraba,Northern Guinea Savanna,Sorghum,ICSV 400,Clay,4.3,34.4,78.0,25.3,1037.6,26.8,Urea,121.1,Rainfed,973.3,44.9
Southsouth,Akwa Ibom,Humid Forest,Cassava,TMS 30572,Sandy Loam,6.2,9.9,48.3,44.0,2379.8,27.0,Organic,63.2,Rainfed,2486.0,92.7
Southwest,Ogun,Humid Forest,Rice,Ofada,Lateritic,4.5,72.0,104.6,63.0,1430.2,32.3,NPK,160.6,Rainfed,2565.8,89.3
Southeast,Abia,Humid Forest,Rice,NERICA-1,Sandy Loam,5.9,97.4,32.0,198.3,2546.0,33.0,NPK,30.3,Rainfed,3626.4,92.3
Southwest,Oyo,Humid Forest,Rice,FARO 44,Alluvial,6.7,136.8,29.7,84.1,2159.8,31.2,NPK,100.4,Surface,3251.6,64.4
Southsouth,Edo,Derived Savanna,Tomato,UC82B,Loamy,8.5,40.2,50.1,49.1,1281.3,30.8,None,0.0,Rainfed,8674.2,69.8
Northcentral,Nasarawa,Derived Savanna,Cassava,TME 419,Sandy,4.6,58.1,54.7,115.6,1700.9,31.5,None,0.0,Surface,9923.6,84.0
Northwest,Kaduna,Northern Guinea Savanna,Maize,Oba Super-1,Sandy,6.1,116.3,55.3,41.0,1003.1,32.1,NPK,177.8,Rainfed,3269.5,51.0
Northcentral,Niger,Northern Guinea Savanna,Cassava,NR 8082,Alluvial,4.1,75.1,94.3,85.2,753.7,31.0,NPK,86.9,Rainfed,4597.6,46.2
Southeast,Enugu,Humid Forest,Rice,Ofada,Sandy Loam,7.8,115.6,21.4,30.2,1749.2,30.2,NPK,37.0,Rainfed,2770.3,89.2
Northcentral,Niger,Northern Guinea Savanna,Sorghum,SAMSORG 17,Loamy,6.2,72.3,22.9,186.8,860.5,29.4,NPK,105.1,Rainfed,2731.5,60.9
Northeast,Bauchi,Sudan Savanna,Sorghum,CSR-01,Clay Loam,4.8,87.0,81.1,182.9,565.2,35.0,NPK,68.0,Rainfed,1466.6,46.6
Northwest,Katsina,Northern Guinea Savanna,Sorghum,CSR-01,Clay Loam,6.6,98.2,9.1,21.1,799.3,21.9,Urea,62.8,Rainfed,655.7,62.1
Northcentral,Nasarawa,Derived Savanna,Tomato,Roma VF,Loamy,5.5,27.6,57.5,29.8,1252.5,30.3,Urea,178.4,Rainfed,2822.6,58.8
Northeast,Bauchi,Northern Guinea Savanna,Cassava,TMS 30572,Sandy Loam,4.2,68.2,96.9,218.1,1087.3,32.5,Urea,161.7,Drip,6394.7,48.7
Southwest,Osun,Derived Savanna,Rice,Ofada,Clay,4.4,68.9,10.3,49.3,1082.0,22.6,NPK,135.9,Rainfed,1349.6,57.8
Northwest,Kano,Sudan Savanna,Sorghum,SAMSORG 17,Clay Loam,6.3,110.0,103.9,201.4,968.2,27.5,Urea,111.4,Surface,2441.2,30.4
Northwest,Sokoto,Sahel Savanna,Sorghum,ICSV 400,Clay Loam,6.2,47.9,24.8,170.4,611.0,30.8,Organic,68.2,Rainfed,1832.5,39.0
Southsouth,Delta,Derived Savanna,Cassava,Oko-Iyawo,Sandy Loam,5.2,114.1,88.8,175.7,1098.3,29.5,Urea,24.4,None,10882.2,78.4
Southsouth,Edo,Derived Savanna,Rice,Ofada,Alluvial,4.7,79.4,103.8,18.2,1207.5,34.4,NPK,79.5,Surface,758.7,61.1
Northeast,Bauchi,Northern Guinea Savanna,Sorghum,SAMSORG 14,Clay Loam,4.7,49.4,32.2,39.4,1232.2,28.7,SSP,106.5,Rainfed,1362.5,56.6
Southeast,Abia,Humid Forest,Cassava,TMS 30572,Sandy Loam,4.1,95.5,20.8,108.7,1940.5,33.0,Organic,157.3,Surface,10327.2,87.5
Southwest,Osun,Humid Forest,Rice,FARO 52,Alluvial,7.5,53.0,72.6,171.0,2513.1,28.0,Organic,76.8,Rainfed,2910.5,99.8
Northwest,Katsina,Sudan Savanna,Sorghum,ICSV 400,Alluvial,7.2,135.9,25.9,96.7,781.3,36.0,Organic,155.9,Drip,3219.6,26.8
Northwest,Katsina,Northern Guinea Savanna,Cassava,TME 419,Clay,4.7,6.7,39.1,118.8,1072.9,31.1,NPK,47.0,Rainfed,2591.0,37.2
Southeast,Enugu,Humid Forest,Cassava,TMS 98/0505,Clay,5.0,47.8,50.5,198.5,1682.3,27.9,NPK,123.5,None,9255.7,99.8
Northwest,Katsina,Northern Guinea Savanna,Cassava,TMS 98/0505,Sandy Loam,5.3,21.4,3.1,207.1,1057.5,31.4,None,0.0,Rainfed,614.0,56.0
Northcentral,Niger,Northern Guinea Savanna,Sorghum,SAMSORG 14,Clay Loam,8.6,49.8,91.6,26.6,865.4,30.2,NPK,151.1,Rainfed,2346.4,66.5
Southwest,Osun,Humid Forest,Rice,FARO 44,Alluvial,7.9,104.0,110.5,188.1,2116.0,29.7,None,0.0,Drip,2718.0,74.6
Southwest,Kwara,Derived Savanna,Cassava,TMS 98/0505,Sandy,6.1,80.8,10.2,197.0,1425.3,24.0,SSP,124.4,Rainfed,8641.4,54.6
Southwest,Ondo,Humid Forest,Rice,Ofada,Clay,7.7,140.0,37.5,212.4,1625.3,26.7,Organic,120.1,Rainfed,3382.1,89.6
Northeast,Borno,Sahel Savanna,Sorghum,SK 5912,Alluvial,7.5,133.8,28.8,166.4,442.6,34.2,None,0.0,Drip,2792.4,47.2
Northeast,Taraba,Northern Guinea Savanna,Cassava,TMS 30572,Clay Loam,5.2,11.3,104.4,114.5,784.4,34.7,Organic,46.3,Rainfed,4600.3,45.6
Northwest,Sokoto,Sahel Savanna,Sorghum,SAMSORG 14,Loamy,8.3,69.5,14.1,83.4,401.5,39.5,NPK,38.3,Rainfed,1843.6,33.2
Northcentral,Nasarawa,Northern Guinea Savanna,Cassava,NR 8082,Alluvial,4.9,19.1,8.3,136.7,886.3,28.7,Urea,64.3,Rainfed,7635.7,68.8
Northcentral,Plateau,Northern Guinea Savanna,Cassava,TME 419,Clay Loam,6.9,30.4,90.1,72.9,1220.9,30.8,NPK,120.4,Sprinkler,8591.2,64.6
Southsouth,Edo,Humid Forest,Cassava,NR 8082,Loamy,4.0,41.9,74.8,88.8,1757.4,33.7,Urea,97.7,Rainfed,9063.8,89.8
Southeast,Abia,Humid Forest,Rice,Ofada,Alluvial,7.7,80.4,111.6,218.5,1784.1,31.4,NPK,37.2,Rainfed,3193.8,67.9
Northwest,Kaduna,Northern Guinea Savanna,Sorghum,ICSV 400,Clay Loam,5.0,128.7,23.5,202.6,1260.6,26.0,Urea,35.0,Rainfed,1621.4,43.0
Southwest,Ogun,Humid Forest,Cassava,Oko-Iyawo,Alluvial,7.1,13.2,96.3,103.0,2311.8,32.1,NPK,89.6,Surface,9106.0,81.9
Northeast,Bauchi,Northern Guinea Savanna,Tomato,UC82B,Sandy,4.1,114.1,57.8,112.7,1105.8,27.4,Organic,176.2,Rainfed,6539.4,36.8
Northeast,Taraba,Northern Guinea Savanna,Cassava,TMS 30572,Alluvial,5.4,20.5,25.0,175.7,822.8,22.2,Organic,135.4,Sprinkler,6584.8,65.8
Northcentral,Plateau,Northern Guinea Savanna,Beans,Sampea-14,Clay Loam,5.7,31.5,76.2,192.4,827.9,21.1,NPK,66.1,None,1355.4,55.8
Northeast,Taraba,Northern Guinea Savanna,Beans,IT90K-277-2,Clay Loam,7.0,68.5,65.9,137.8,1229.5,21.2,NPK,103.8,Rainfed,918.0,39.6
Southwest,Oyo,Derived Savanna,Maize,DMR-LSR-Y,Clay,6.8,101.3,77.6,56.0,1133.1,28.0,None,0.0,None,3418.7,70.4
Northcentral,Nasarawa,Northern Guinea Savanna,Maize,DMR-LSR-Y,Clay Loam,7.9,80.2,84.3,197.7,1071.5,23.7,Organic,114.5,None,3525.2,74.6
Southwest,Oyo,Humid Forest,Rice,FARO 44,Clay Loam,6.1,134.0,68.3,218.4,1823.7,24.9,NPK,42.2,Surface,3502.9,93.7
Southsouth,Akwa Ibom,Humid Forest,Cassava,NR 8082,Sandy Loam,6.5,64.9,95.2,139.8,2185.9,26.3,NPK,116.7,Drip,11477.3,68.0
Northcentral,Niger,Northern Guinea Savanna,Cassava,NR 8082,Sandy Loam,5.2,7.5,71.2,121.8,824.5,32.8,NPK,111.5,Sprinkler,5754.7,63.9
Northwest,Kaduna,Northern Guinea Savanna,Pepper,Atarugu,Clay Loam,6.4,40.6,50.9,206.2,1146.6,30.9,NPK,29.5,Rainfed,3608.9,51.4
Northeast,Gombe,Sudan Savanna,Sorghum,SK 5912,Alluvial,4.1,144.5,56.7,86.2,448.0,35.5,NPK,93.6,Drip,1067.3,52.4
Southwest,Kwara,Derived Savanna,Pepper,Shombo,Lateritic,8.0,142.8,112.4,216.9,1550.1,33.2,NPK,43.4,Drip,4363.6,79.4
Northwest,Kaduna,Northern Guinea Savanna,Sorghum,ICSV 400,Lateritic,5.0,66.2,8.2,22.4,831.5,32.9,NPK,75.8,Rainfed,652.1,56.4
Southwest,Osun,Derived Savanna,Beans,Sampea-7,Loamy,8.0,133.0,62.4,22.2,1137.8,29.2,Urea,56.0,Surface,725.2,59.2
Northwest,Kaduna,Northern Guinea Savanna,Pepper,Nsukka Yellow,Loamy,5.3,95.2,59.5,202.8,953.4,33.0,Urea,107.3,Rainfed,4417.5,55.8
Northwest,Kaduna,Northern Guinea Savanna,Maize,Oba Super-1,Lateritic,5.8,129.8,62.7,200.0,1108.5,29.0,NPK,135.1,Sprinkler,3480.2,47.8
Southsouth,Delta,Humid Forest,Cassava,TME 419,Lateritic,6.7,11.2,45.8,38.2,1801.9,27.3,NPK,91.1,Rainfed,1504.1,100
Northwest,Kano,Sudan Savanna,Sorghum,SAMSORG 14,Alluvial,5.9,27.8,93.7,112.1,567.6,38.7,Urea,63.2,Surface,2771.4,55.4
Southeast,Enugu,Humid Forest,Rice,NERICA-1,Lateritic,6.6,100.9,28.6,64.1,2107.3,27.9,NPK,87.1,Surface,3616.2,96.8
Northcentral,Kogi,Derived Savanna,Yam,Yellow Yam,Clay,7.2,28.5,21.3,174.7,1325.9,29.1,Urea,100.4,Rainfed,6380.5,74.0
Southsouth,Delta,Humid Forest,Rice,Ofada,Sandy Loam,5.0,83.5,18.6,18.5,2199.4,33.0,NPK,47.2,Rainfed,979.7,71.6
Southeast,Ebonyi,Humid Forest,Rice,FARO 44,Sandy,8.2,99.0,44.3,55.3,2491.8,27.5,SSP,179.8,Rainfed,2642.4,67.2
Northcentral,Plateau,Northern Guinea Savanna,Cassava,Oko-Iyawo,Clay,8.3,18.8,37.3,210.0,1124.3,32.7,None,0.0,Rainfed,5391.2,66.7
